,CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1419,201419,0,42,Self Enquiry,1,24,Salaried,Male,2,3,Deluxe,5,Married,7,1,1,0,0,Manager,20410
1420,201420,0,41,Self Enquiry,1,6,Salaried,Male,3,3,Basic,3,Married,4,0,1,0,0,Executive,17782
1421,201421,0,47,Company Invited,1,6,Small Business,Female,3,3,Standard,4,Married,1,0,5,0,0,Senior Manager,26957
1422,201422,0,35,Self Enquiry,1,17,Small Business,Male,2,3,Basic,3,Married,1,1,5,0,0,Executive,17660
1424,201424,0,35,Self Enquiry,1,15,Small Business,Male,2,3,Deluxe,3,Single,2,0,4,0,1,Manager,20098
1426,201426,0,32,Self Enquiry,1,35,Salaried,Female,2,4,Basic,4,Single,2,0,3,1,0,Executive,17837
1427,201427,0,40,Self Enquiry,1,6,Salaried,Male,2,3,Basic,3,Married,1,0,1,0,0,Executive,17406
1428,201428,0,32,Self Enquiry,3,6,Small Business,Male,3,4,Basic,4,Married,1,0,1,0,2,Executive,17269
1430,201430,0,38,Self Enquiry,1,16,Small Business,Female,2,5,Standard,3,Married,4,0,1,1,1,Senior Manager,28206
1431,201431,0,32,Self Enquiry,3,6,Small Business,Female,2,3,Standard,3,Married,2,0,5,1,0,Senior Manager,25422
1432,201432,0,37,Self Enquiry,1,16,Salaried,Female,2,1,Standard,3,Married,2,1,1,0,1,Senior Manager,28744
1433,201433,0,25,Self Enquiry,3,14,Salaried,Female,2,3,Deluxe,3,Married,1,1,1,1,1,Manager,19907
1435,201435,0,44,Self Enquiry,1,6,Small Business,Male,2,3,Basic,3,Single,7,1,4,0,1,Executive,17436
1436,201436,0,21,Self Enquiry,3,11,Small Business,Male,2,3,Basic,5,Single,2,1,1,1,0,Executive,17380
1437,201437,0,39,Company Invited,1,15,Salaried,Male,2,3,King,3,Single,3,0,4,0,1,VP,34431
1438,201438,1,23,Company Invited,3,15,Small Business,Male,2,3,Basic,5,Married,2,0,5,1,0,Executive,16790
1439,201439,0,36,Self Enquiry,3,9,Small Business,Female,3,4,Standard,3,Married,1,0,3,1,0,Senior Manager,22644
1440,201440,0,36,Company Invited,1,10,Salaried,Female,3,3,Deluxe,4,Married,1,0,3,1,1,Manager,20131
1441,201441,0,56,Company Invited,1,6,Salaried,Male,2,3,Deluxe,3,Married,2,0,3,0,0,Manager,21306
1443,201443,0,42,Self Enquiry,1,8,Salaried,Male,2,3,King,3,Married,6,0,3,1,1,VP,33880
1444,201444,1,56,Self Enquiry,1,13,Large Business,Male,3,3,Basic,3,Married,1,0,4,1,2,Executive,17339
1445,201445,0,41,Self Enquiry,1,34,Salaried,Female,2,4,Super Deluxe,4,Married,1,0,5,1,1,AVP,28570
1446,201446,0,34,Self Enquiry,3,34,Small Business,Female,3,4,Deluxe,3,Married,2,0,5,1,0,Manager,21712
1447,201447,0,36,Company Invited,3,21,Small Business,Male,2,5,Deluxe,3,Married,2,0,1,1,0,Manager,20406
1448,201448,0,41,Self Enquiry,3,9,Salaried,Male,2,4,Deluxe,4,Married,3,0,3,0,1,Manager,23938
1449,201449,0,32,Self Enquiry,1,8,Large Business,Male,3,3,Basic,5,Single,2,0,1,1,1,Executive,17439
1450,201450,0,35,Self Enquiry,2,32,Salaried,Fe Male,2,3,Standard,3,Unmarried,2,1,1,1,0,Senior Manager,23837
1451,201451,0,38,Self Enquiry,3,16,Salaried,Female,3,3,Deluxe,3,Married,2,0,4,0,2,Manager,20343
1452,201452,1,50,Company Invited,3,6,Salaried,Male,3,3,Deluxe,3,Married,1,0,3,1,1,Manager,21728
1453,201453,0,36,Self Enquiry,3,17,Small Business,Female,3,4,Deluxe,3,Married,5,0,1,1,1,Manager,21652
1455,201455,0,40,Self Enquiry,1,8,Salaried,Male,2,4,Basic,3,Single,3,0,5,0,1,Executive,17809
1456,201456,0,35,Company Invited,1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,3,1,0,Manager,20689
1457,201457,0,40,Self Enquiry,1,8,Small Business,Female,3,3,Basic,3,Married,3,0,1,1,1,Executive,17001
1458,201458,0,35,Self Enquiry,1,6,Salaried,Female,3,5,Basic,3,Married,2,0,3,0,1,Executive,17977
1461,201461,1,50,Self Enquiry,3,34,Small Business,Male,2,4,Standard,5,Married,5,1,5,0,0,Senior Manager,25854
1462,201462,0,39,Self Enquiry,3,30,Small Business,Female,2,4,Super Deluxe,3,Married,1,0,1,1,1,AVP,27031
1463,201463,0,31,Company Invited,1,11,Small Business,Male,3,3,Deluxe,5,Unmarried,1,0,1,0,2,Manager,24936
1464,201464,0,26,Self Enquiry,3,11,Salaried,Female,1,4,Basic,3,Single,1,0,1,0,0,Executive,17966
1465,201465,0,36,Company Invited,1,29,Small Business,Male,2,1,Deluxe,3,Married,5,0,3,0,0,Manager,17571
1466,201466,0,39,Self Enquiry,1,12,Small Business,Male,2,4,Standard,5,Married,5,0,4,1,0,Senior Manager,24991
1467,201467,0,27,Self Enquiry,1,10,Salaried,Male,2,1,Deluxe,4,Married,2,1,4,1,0,Manager,21142
1468,201468,0,49,Company Invited,3,8,Small Business,Male,3,4,Deluxe,4,Married,3,0,3,1,2,Manager,20390
1470,201470,1,41,Self Enquiry,3,6,Salaried,Female,3,3,Deluxe,3,Single,1,1,4,0,2,Manager,20993
1471,201471,0,49,Company Invited,1,14,Salaried,Male,3,4,Deluxe,4,Married,2,0,1,0,0,Manager,20130
1472,201472,1,37,Self Enquiry,1,8,Salaried,Male,3,4,Basic,3,Single,7,1,3,0,2,Executive,17090
1473,201473,0,33,Company Invited,1,9,Salaried,Female,2,3,Basic,3,Married,2,1,1,1,1,Executive,17909
1475,201475,0,32,Company Invited,1,8,Salaried,Male,3,3,Basic,3,Single,1,0,3,1,1,Executive,18068
1476,201476,0,59,Self Enquiry,1,9,Small Business,Female,2,1,Basic,5,Married,5,1,1,0,1,Executive,17670
1477,201477,0,30,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,3,1,2,Executive,17693
1478,201478,0,38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,1,0,Senior Manager,24526
1479,201479,0,36,Self Enquiry,1,33,Small Business,Male,3,3,Deluxe,3,Married,7,0,3,0,0,Manager,20237
1480,201480,0,35,Self Enquiry,1,22,Small Business,Male,2,1,Basic,4,Married,1,0,4,1,1,Executive,17426
1482,201482,0,31,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,1,1,Executive,17911
1483,201483,0,34,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Married,1,0,3,0,0,Executive,17661
1484,201484,1,28,Self Enquiry,1,30,Salaried,Male,2,4,Basic,3,Single,6,1,1,0,0,Executive,17028
1485,201485,0,29,Self Enquiry,1,27,Salaried,Female,2,1,Standard,5,Married,2,0,5,1,1,Senior Manager,24980
1486,201486,0,32,Self Enquiry,1,11,Salaried,Male,3,1,Basic,4,Married,1,1,1,1,2,Executive,18298
1487,201487,0,22,Company Invited,1,22,Small Business,Male,3,1,Basic,3,Married,2,1,3,0,2,Executive,17935
1488,201488,0,53,Self Enquiry,3,8,Salaried,Female,3,4,Super Deluxe,3,Married,3,0,3,0,0,AVP,30427
1492,201492,0,34,Self Enquiry,1,13,Salaried,Fe Male,2,3,Standard,4,Unmarried,1,0,5,0,0,Senior Manager,26994
1493,201493,0,21,Self Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,5,1,1,Executive,16232
1494,201494,1,34,Self Enquiry,1,12,Small Business,Male,2,3,Basic,5,Single,3,0,4,0,0,Executive,17960
1495,201495,0,53,Self Enquiry,1,11,Salaried,Female,2,3,King,3,Married,5,0,4,1,0,VP,34094
1497,201497,0,42,Self Enquiry,3,14,Small Business,Male,2,3,Deluxe,4,Married,1,0,3,1,0,Manager,21825
1498,201498,0,44,Self Enquiry,1,13,Small Business,Female,2,4,Standard,3,Married,4,0,4,0,0,Senior Manager,25248
1499,201499,0,46,Self Enquiry,3,8,Small Business,Female,2,3,King,5,Single,4,0,1,1,1,VP,33947
1500,201500,0,33,Self Enquiry,1,8,Small Business,Male,3,3,Basic,3,Single,5,0,3,0,2,Executive,17496
1501,201501,0,44,Self Enquiry,1,16,Salaried,Male,2,3,Deluxe,3,Married,3,1,3,0,1,Manager,21465
1502,201502,0,30,Self Enquiry,1,15,Small Business,Male,2,4,Basic,3,Single,2,0,4,0,1,Executive,17206
1503,201503,1,39,Self Enquiry,3,11,Large Business,Male,2,3,Deluxe,3,Married,4,0,1,0,0,Manager,17086
1504,201504,1,24,Self Enquiry,1,6,Small Business,Male,3,3,Basic,3,Married,3,1,3,0,2,Executive,17293
1505,201505,0,43,Self Enquiry,1,8,Small Business,Female,3,1,Basic,3,Married,2,0,1,1,2,Executive,17645
1506,201506,1,50,Self Enquiry,3,9,Small Business,Male,2,4,Basic,3,Married,2,1,4,1,1,Executive,17683
1507,201507,0,35,Self Enquiry,3,8,Small Business,Female,3,3,Basic,3,Married,2,0,1,1,2,Executive,17014
1509,201509,0,33,Company Invited,3,6,Salaried,Female,2,1,Deluxe,5,Married,3,0,3,0,1,Manager,20376
1510,201510,0,35,Self Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,1,1,Executive,16951
1511,201511,0,27,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,1,1,Executive,17341
1512,201512,1,26,Self Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,1,0,0,Executive,17293
1513,201513,0,27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,1,1,0,Senior Manager,23726
1515,201515,1,41,Self Enquiry,1,18,Large Business,Female,2,3,King,3,Married,2,0,4,1,1,VP,34545
1517,201517,0,37,Self Enquiry,1,25,Salaried,Male,3,3,Basic,4,Married,5,0,4,0,1,Executive,18022
1518,201518,0,46,Company Invited,3,11,Small Business,Male,3,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772
1519,201519,0,35,Self Enquiry,1,14,Salaried,Male,2,1,Basic,3,Married,2,0,5,1,1,Executive,17269
1520,201520,1,48,Self Enquiry,1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,0,Senior Manager,20381
1522,201522,0,44,Self Enquiry,3,6,Small Business,Female,3,3,Deluxe,5,Married,6,1,1,1,1,Manager,20454
1523,201523,0,35,Company Invited,1,17,Small Business,Male,3,4,Standard,5,Married,3,1,5,1,2,Senior Manager,24884
1525,201525,0,33,Company Invited,1,6,Salaried,Fe Male,3,3,Standard,3,Unmarried,2,1,1,1,0,Senior Manager,28458
1526,201526,0,35,Company Invited,3,5,Salaried,Male,3,3,Standard,5,Married,2,0,4,0,0,Senior Manager,24069
1528,201528,0,31,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,0,1,Manager,20915
1529,201529,0,37,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Married,2,0,5,0,0,Manager,20993
1530,201530,0,32,Self Enquiry,1,6,Small Business,Male,2,3,Deluxe,3,Married,2,1,4,1,1,Manager,21162
1531,201531,0,38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406
1532,201532,0,50,Self Enquiry,1,13,Small Business,Female,2,4,King,3,Married,6,1,4,1,1,VP,33740
1533,201533,0,59,Self Enquiry,3,31,Salaried,Female,4,3,Standard,5,Unmarried,1,0,3,1,1,Senior Manager,22637
1534,201534,0,36,Self Enquiry,1,14,Large Business,Female,2,3,Standard,3,Married,2,0,4,1,0,Senior Manager,25096
1535,201535,0,55,Self Enquiry,1,14,Small Business,Female,2,3,Super Deluxe,3,Married,3,1,3,1,1,AVP,29756
1536,201536,0,36,Company Invited,1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499
1537,201537,0,45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,0,0,Senior Manager,24724
1538,201538,0,35,Company Invited,1,6,Small Business,Male,3,3,Basic,5,Married,5,0,1,0,1,Executive,17194
1540,201540,0,59,Company Invited,3,6,Salaried,Female,2,4,Deluxe,3,Single,1,0,5,1,0,Manager,20473
1541,201541,0,29,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Married,1,0,4,1,0,Executive,17703
1542,201542,0,31,Self Enquiry,1,6,Small Business,Male,2,3,Basic,4,Single,2,0,3,1,0,Executive,17501
1543,201543,0,32,Self Enquiry,1,6,Salaried,Male,3,3,Deluxe,4,Married,2,0,3,1,0,Manager,21220
1544,201544,0,36,Self Enquiry,1,12,Salaried,Female,2,1,Basic,3,Married,4,0,1,0,0,Executive,18038
1547,201547,0,45,Self Enquiry,1,12,Salaried,Male,2,3,Standard,5,Married,5,1,3,1,1,Senior Manager,28245
1548,201548,0,37,Self Enquiry,1,13,Small Business,Male,1,3,Standard,3,Single,5,0,1,0,0,Senior Manager,28664
1550,201550,0,30,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Married,2,1,1,1,1,Manager,20126
1551,201551,0,35,Self Enquiry,1,6,Small Business,Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859
1552,201552,0,55,Self Enquiry,3,6,Salaried,Male,3,3,Standard,3,Married,4,0,1,0,2,Senior Manager,25239
1553,201553,0,38,Company Invited,1,12,Small Business,Female,3,5,Deluxe,3,Married,1,1,1,0,2,Manager,20329
1555,201555,0,56,Self Enquiry,1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,1,0,0,Senior Manager,22260
1556,201556,0,23,Self Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,2,Executive,17322
1557,201557,0,51,Self Enquiry,1,15,Salaried,Male,3,3,Basic,3,Married,4,0,3,1,0,Executive,17075
1559,201559,1,46,Self Enquiry,3,15,Small Business,Male,3,4,Standard,3,Unmarried,2,0,5,1,2,Senior Manager,24619
1560,201560,0,40,Company Invited,1,6,Salaried,Male,3,4,Super Deluxe,4,Married,2,0,1,1,1,AVP,28503
1561,201561,0,51,Self Enquiry,3,27,Small Business,Male,3,3,Deluxe,3,Single,1,1,5,0,2,Manager,20441
1562,201562,0,30,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,4,Married,2,1,3,1,0,Manager,20209
1563,201563,0,46,Company Invited,1,6,Small Business,Male,2,4,Standard,5,Married,3,1,1,1,1,Senior Manager,25673
1565,201565,0,54,Self Enquiry,1,8,Large Business,Female,2,3,Standard,3,Married,1,0,4,0,0,Senior Manager,28549
1568,201568,0,58,Self Enquiry,3,16,Small Business,Male,2,3,Super Deluxe,3,Single,1,0,3,0,1,AVP,28872
1569,201569,0,44,Company Invited,1,29,Small Business,Male,3,3,Deluxe,4,Married,5,0,3,0,1,Manager,17042
1570,201570,1,37,Self Enquiry,2,12,Salaried,Male,3,3,Basic,5,Married,5,1,1,0,2,Executive,17073
1571,201571,0,32,Self Enquiry,1,6,Salaried,Male,3,3,Basic,5,Single,2,0,1,0,1,Executive,17956
1572,201572,1,20,Company Invited,1,12,Salaried,Female,3,4,Basic,3,Single,2,1,1,0,0,Executive,17926
1574,201574,0,37,Company Invited,1,8,Salaried,Male,3,4,Deluxe,3,Married,6,0,1,1,2,Manager,20163
1575,201575,0,59,Company Invited,2,8,Salaried,Female,2,4,King,3,Married,1,0,1,0,1,VP,33844
1576,201576,0,50,Company Invited,1,6,Salaried,Female,3,3,King,4,Married,4,1,1,0,2,VP,33172
1577,201577,1,25,Self Enquiry,3,11,Small Business,Male,2,4,Deluxe,3,Single,2,1,3,0,1,Manager,20744
1578,201578,0,25,Self Enquiry,1,13,Small Business,Male,3,4,Basic,3,Married,2,0,1,0,2,Executive,17889
1579,201579,0,22,Self Enquiry,1,21,Small Business,Female,2,3,Basic,3,Single,2,0,1,1,1,Executive,17871
1580,201580,0,51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Unmarried,4,0,1,1,0,Senior Manager,22484
1581,201581,1,34,Company Invited,1,13,Salaried,Male,3,5,Deluxe,3,Single,2,1,5,1,0,Manager,21074
1582,201582,0,54,Company Invited,2,32,Salaried,Female,1,1,Super Deluxe,3,Single,3,1,3,1,0,AVP,32328
1583,201583,0,24,Self Enquiry,1,24,Salaried,Male,2,3,Basic,3,Married,1,0,4,0,0,Executive,17774
1585,201585,0,37,Self Enquiry,3,9,Salaried,Male,2,3,Standard,3,Unmarried,3,0,3,0,1,Senior Manager,22428
1586,201586,0,34,Self Enquiry,1,11,Small Business,Fe Male,2,4,Standard,5,Unmarried,3,0,1,1,1,Senior Manager,26631
1587,201587,0,36,Company Invited,3,17,Large Business,Female,3,3,Standard,3,Married,1,0,5,0,2,Senior Manager,24738
1588,201588,0,36,Self Enquiry,1,9,Salaried,Female,2,3,Basic,3,Married,6,0,1,0,1,Executive,17835
1589,201589,0,43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Married,2,1,1,1,0,AVP,31959
1590,201590,0,30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,0,0,Executive,17613
1591,201591,0,33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Married,1,0,1,0,0,Manager,21146
1593,201593,0,51,Self Enquiry,1,12,Salaried,Male,2,3,King,3,Single,1,0,5,1,1,VP,34537
1594,201594,1,31,Self Enquiry,3,12,Salaried,Male,3,5,Deluxe,3,Married,5,1,3,0,2,Manager,21172
1595,201595,0,26,Self Enquiry,1,12,Salaried,Female,2,4,Basic,4,Married,2,0,3,1,1,Executive,17368
1596,201596,1,58,Self Enquiry,1,29,Small Business,Female,3,3,Standard,3,Married,2,0,3,1,0,Senior Manager,25312
1597,201597,1,19,Self Enquiry,3,28,Small Business,Male,2,3,Basic,3,Single,2,1,1,1,0,Executive,16675
1598,201598,0,22,Self Enquiry,1,8,Large Business,Male,3,3,Basic,3,Married,1,0,5,1,0,Executive,17523
1599,201599,0,49,Self Enquiry,1,26,Small Business,Female,3,3,Deluxe,5,Married,2,0,1,1,0,Manager,21567
1601,201601,0,50,Company Invited,3,18,Small Business,Fe Male,3,3,Standard,3,Unmarried,5,0,5,1,2,Senior Manager,24208
1603,201603,0,41,Self Enquiry,3,15,Salaried,Male,3,3,Standard,3,Married,4,1,1,0,1,Senior Manager,23189
1604,201604,0,26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Married,2,0,4,1,1,Executive,17942
1606,201606,1,51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,1,1,0,Senior Manager,25650
1607,201607,0,39,Self Enquiry,3,10,Salaried,Female,2,4,Deluxe,3,Married,5,0,5,1,1,Manager,20902
1608,201608,0,25,Self Enquiry,3,34,Salaried,Male,2,4,Deluxe,3,Married,3,0,4,1,1,Manager,23639
1609,201609,0,30,Self Enquiry,2,15,Salaried,Male,2,3,Deluxe,3,Married,1,1,3,1,1,Manager,21347
1613,201613,0,30,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,1,1,2,Executive,17632
1615,201615,0,30,Self Enquiry,1,11,Large Business,Female,2,3,Basic,5,Married,6,0,5,0,1,Executive,18204
1616,201616,0,30,Self Enquiry,1,8,Small Business,Male,2,4,Basic,3,Single,1,0,4,0,0,Executive,17720
1617,201617,0,41,Company Invited,1,16,Salaried,Male,3,4,Super Deluxe,5,Married,5,0,1,1,0,AVP,32181
1618,201618,0,41,Self Enquiry,1,15,Salaried,Male,3,3,Basic,5,Married,3,0,1,0,0,Executive,17238
1619,201619,0,19,Self Enquiry,1,9,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,0,Executive,16483
1620,201620,0,40,Company Invited,1,32,Small Business,Female,2,3,Deluxe,4,Married,2,0,1,0,1,Manager,20605
1621,201621,0,35,Self Enquiry,3,6,Small Business,Male,3,3,Standard,4,Married,2,0,4,0,0,Senior Manager,22295
1622,201622,0,53,Self Enquiry,3,12,Small Business,Male,2,3,Deluxe,3,Married,3,1,5,0,1,Manager,17306
1623,201623,0,45,Self Enquiry,1,15,Salaried,Male,2,3,Deluxe,4,Married,1,0,4,1,0,Manager,17348
1624,201624,0,32,Company Invited,3,14,Small Business,Fe Male,2,3,Standard,3,Unmarried,2,0,4,1,1,Senior Manager,23998
1626,201626,0,51,Self Enquiry,1,13,Small Business,Male,2,4,Deluxe,3,Married,3,0,3,1,1,Manager,21132
1627,201627,0,58,Self Enquiry,1,15,Small Business,Female,3,4,Basic,4,Married,5,1,1,1,1,Executive,18346
1628,201628,0,40,Self Enquiry,3,10,Small Business,Male,3,4,Standard,3,Married,1,0,1,1,1,Senior Manager,25855
1629,201629,0,34,Company Invited,3,8,Small Business,Female,3,3,Basic,3,Married,7,0,5,0,0,Executive,17231
1630,201630,0,22,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Married,2,0,1,1,0,Executive,17323
1631,201631,0,27,Company Invited,1,15,Small Business,Male,2,3,Basic,4,Married,7,0,3,1,1,Executive,17024
1632,201632,0,28,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Married,2,0,1,0,0,Executive,17713
1633,201633,0,57,Self Enquiry,1,30,Salaried,Male,2,1,Standard,3,Married,4,1,4,1,0,Senior Manager,24439
1634,201634,0,27,Company Invited,1,9,Small Business,Male,3,4,Basic,3,Married,2,1,1,0,2,Executive,17566
1636,201636,0,41,Self Enquiry,1,20,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451
1637,201637,0,30,Self Enquiry,3,11,Salaried,Female,2,3,Standard,3,Married,3,0,4,1,1,Senior Manager,24419
1638,201638,0,38,Self Enquiry,3,6,Salaried,Fe Male,2,4,Deluxe,3,Unmarried,5,0,1,0,1,Manager,23686
1639,201639,0,32,Self Enquiry,1,12,Salaried,Male,2,3,Basic,3,Single,4,0,1,0,1,Executive,18038
1640,201640,0,27,Self Enquiry,1,23,Large Business,Male,2,3,Basic,4,Married,1,1,4,0,0,Executive,18058
1641,201641,1,19,Company Invited,3,6,Large Business,Female,3,5,Basic,5,Single,1,0,3,1,0,Executive,17325
1642,201642,0,36,Company Invited,1,9,Small Business,Male,1,3,Basic,4,Single,5,0,4,1,0,Executive,17088
1643,201643,0,30,Company Invited,1,15,Small Business,Male,3,3,Deluxe,5,Married,2,0,1,1,1,Manager,18072
1646,201646,0,33,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,1,0,3,1,0,Executive,17500
1647,201647,1,19,Self Enquiry,1,8,Salaried,Male,2,4,Basic,3,Single,2,0,5,1,0,Executive,16102
1648,201648,0,46,Self Enquiry,3,6,Small Business,Female,3,3,Standard,5,Married,2,0,1,1,2,Senior Manager,25453
1649,201649,0,38,Self Enquiry,1,15,Salaried,Female,3,3,Basic,3,Single,2,0,1,1,2,Executive,17288
1651,201651,0,34,Self Enquiry,1,33,Small Business,Female,3,3,Basic,4,Single,3,0,3,0,0,Executive,17311
1652,201652,1,41,Self Enquiry,3,26,Small Business,Female,3,3,Basic,4,Single,2,1,4,0,1,Executive,18140
1655,201655,0,33,Self Enquiry,1,20,Small Business,Female,3,3,Basic,4,Married,2,0,5,1,1,Executive,17756
1656,201656,0,40,Self Enquiry,1,10,Small Business,Female,2,3,King,3,Married,2,0,5,1,1,VP,34033
1657,201657,0,55,Self Enquiry,1,20,Small Business,Male,3,1,King,4,Single,1,0,1,1,1,VP,33722
1658,201658,0,34,Company Invited,1,8,Salaried,Male,2,4,Deluxe,3,Married,2,0,4,0,1,Manager,24547
1659,201659,0,51,Self Enquiry,1,9,Small Business,Female,3,3,Super Deluxe,4,Single,4,0,5,1,1,AVP,28734
1661,201661,0,27,Self Enquiry,1,15,Small Business,Female,4,3,Basic,4,Single,2,0,3,0,1,Executive,17279
1662,201662,1,35,Self Enquiry,1,29,Salaried,Male,2,4,Deluxe,3,Married,4,1,4,1,0,Manager,20916
1663,201663,0,43,Company Invited,1,13,Small Business,Male,2,1,Basic,3,Married,5,0,4,1,0,Executive,17089
1664,201664,0,45,Company Invited,1,8,Small Business,Male,3,4,Super Deluxe,3,Married,1,0,4,1,2,AVP,31792
1667,201667,0,42,Company Invited,1,27,Small Business,Female,2,3,Deluxe,3,Married,3,0,1,0,0,Manager,20265
1668,201668,0,38,Self Enquiry,1,8,Salaried,Male,2,3,Deluxe,3,Married,1,0,1,1,1,Manager,21553
1669,201669,0,38,Self Enquiry,1,35,Large Business,Male,2,3,Deluxe,3,Married,4,0,1,0,0,Manager,21261
1671,201671,0,49,Company Invited,1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,1,0,0,Manager,21804
1673,201673,0,40,Self Enquiry,1,25,Small Business,Male,1,3,Deluxe,3,Married,1,1,1,1,0,Manager,17741
1674,201674,1,38,Self Enquiry,1,35,Small Business,Male,3,3,Deluxe,5,Married,1,1,3,1,2,Manager,21673
1675,201675,1,29,Self Enquiry,3,33,Small Business,Female,2,3,Standard,3,Married,2,0,3,0,0,Senior Manager,22639
1676,201676,0,22,Self Enquiry,1,11,Salaried,Male,2,1,Basic,4,Married,2,1,4,1,0,Executive,17328
1677,201677,0,36,Company Invited,1,24,Small Business,Female,3,3,Basic,3,Single,2,0,3,0,1,Executive,17153
1679,201679,0,46,Self Enquiry,1,6,Small Business,Male,3,3,Standard,5,Married,1,0,1,0,2,Senior Manager,24396
1680,201680,1,32,Self Enquiry,3,10,Small Business,Male,2,5,Standard,3,Married,2,0,1,1,0,Senior Manager,25400
1681,201681,0,30,Company Invited,1,6,Salaried,Male,2,4,Standard,3,Unmarried,2,0,5,1,1,Senior Manager,23474
1682,201682,0,27,Company Invited,3,26,Salaried,Fe Male,2,3,Deluxe,3,Unmarried,2,0,1,1,1,Manager,24981
1683,201683,0,51,Self Enquiry,1,14,Salaried,Male,2,4,Standard,4,Married,6,0,3,1,1,Senior Manager,27490
1684,201684,1,30,Self Enquiry,1,9,Large Business,Female,2,3,Basic,5,Single,6,1,4,0,0,Executive,17657
1685,201685,0,41,Self Enquiry,3,12,Salaried,Female,3,3,Standard,3,Single,4,1,1,0,0,Senior Manager,28591
1686,201686,1,30,Company Invited,3,32,Small Business,Female,2,4,Deluxe,5,Unmarried,6,0,1,1,1,Manager,21696
1687,201687,1,29,Self Enquiry,1,6,Large Business,Male,2,3,Basic,3,Single,1,0,1,0,0,Executive,17058
1688,201688,0,45,Company Invited,3,12,Small Business,Fe Male,2,4,Standard,3,Unmarried,7,0,4,1,0,Senior Manager,23865
1689,201689,0,54,Self Enquiry,3,9,Small Business,Female,2,3,Deluxe,5,Married,3,0,4,1,0,Manager,20940
1690,201690,0,36,Self Enquiry,1,11,Salaried,Male,3,3,Deluxe,4,Single,1,0,1,1,1,Manager,20914
1691,201691,0,33,Self Enquiry,1,10,Small Business,Female,2,4,Basic,4,Married,7,0,4,0,1,Executive,17622
1692,201692,0,37,Company Invited,1,17,Salaried,Male,2,3,Standard,3,Married,2,1,3,1,1,Senior Manager,27185
1693,201693,0,38,Self Enquiry,3,9,Salaried,Male,3,3,Standard,3,Married,1,0,1,1,1,Senior Manager,25609
1695,201695,0,59,Self Enquiry,1,9,Salaried,Male,3,4,Basic,3,Married,4,0,3,0,0,Executive,17177
1696,201696,0,37,Company Invited,3,10,Small Business,Male,2,3,Basic,3,Married,5,0,4,1,0,Executive,17793
1697,201697,0,29,Company Invited,3,6,Small Business,Female,2,3,Standard,3,Married,2,0,3,1,1,Senior Manager,22918
1698,201698,0,35,Company Invited,3,6,Small Business,Fe Male,3,3,Standard,3,Unmarried,2,0,5,1,0,Senior Manager,23789
